car_id,model,year,engine_size,horsepower,fuel_type,transmission,drivetrain,mileage_km,fuel_consumption_l_per_100km,price_usd,co2_emissions_g_km,doors,seats,body_type,color,owner_count,accident_history,service_history,country_sold
1.0,6.0,2016.0,4.0,272.0,0.0,0.0,0.0,74655.0,8.9,66756.0,196.0,5.0,5.0,4.0,5.0,2.0,0.0,2.0,3.0
2.0,0.0,2022.0,2.6,218.0,3.0,0.0,1.0,23469.0,8.4,26867.0,190.0,3.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0
3.0,4.0,2012.0,2.2,240.0,3.0,0.0,1.0,123273.0,7.8,31313.0,174.0,5.0,5.0,4.0,5.0,3.0,0.0,0.0,3.0
4.0,6.0,2022.0,3.8,316.0,0.0,2.0,0.0,33064.0,9.4,81594.0,192.0,5.0,5.0,4.0,1.0,1.0,0.0,3.0,0.0
5.0,3.0,2023.0,3.1,294.0,3.0,0.0,2.0,23926.0,6.5689870822226775,104105.0,204.0,4.0,5.0,3.0,5.0,1.0,0.0,0.0,4.0
6.0,4.0,2010.0,1.9,190.0,0.0,0.0,0.0,182375.0,5.7,18615.0,112.0,5.0,5.0,4.0,0.0,5.0,0.0,2.0,0.0
7.0,2.0,2008.0,4.2,383.0,3.0,0.0,0.0,274131.0,10.7,27173.0,222.0,4.0,5.0,3.0,1.0,4.0,1.0,2.0,7.0
8.0,0.0,2017.0,1.7,230.0,3.0,0.0,2.0,73728.0,7.3,22374.0,148.0,5.0,5.0,2.0,0.0,4.0,0.0,2.0,1.0
9.0,4.0,2013.0,1.8,171.0,3.0,0.0,0.0,170822.0,7.6,24335.0,166.0,5.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0
10.0,9.0,2012.0,0.0,156.0,1.0,0.0,2.0,166379.0,0.0,19182.0,0.0,5.0,4.0,2.0,6.0,4.0,1.0,1.0,4.0
11.0,0.0,2016.0,3.0,276.0,3.0,0.0,2.0,145961.0,9.4,14587.0,144.1056777493606,5.0,4.0,2.0,0.0,3.0,1.0,1.0,6.0
12.0,1.0,2019.0,2.0,169.0,2.0,0.0,0.0,66059.0,4.6,37881.0,104.0,4.0,5.0,3.0,0.0,1.0,0.0,0.0,6.0
13.0,6.0,2021.0,3.2,267.0,0.0,0.0,0.0,52609.0,8.4,76525.0,197.0,5.0,5.0,4.0,5.0,2.0,1.0,0.0,7.0
14.0,5.0,2024.0,3.2,233.0,0.0,0.0,0.0,14470.0,6.5689870822226775,62303.0,164.0,5.0,5.0,4.0,0.0,0.0,0.0,2.0,3.0
15.0,5.0,2023.0,2.4,183.0,3.0,2.0,2.0,32107.0,9.9,54498.0,144.1056777493606,5.0,5.0,4.0,4.0,0.0,0.0,0.0,5.0
16.0,1.0,2005.0,1.7,187.0,3.0,1.0,2.0,300000.0,6.5689870822226775,8229.0,168.0,4.0,5.0,3.0,3.0,5.0,1.0,0.0,2.0
17.0,0.0,2015.0,1.7,221.0,2.0,1.0,1.0,133510.0,4.8,16746.0,110.0,3.0,5.0,2.0,1.0,3.0,0.0,2.0,4.0
18.0,2.0,2019.0,2.6,229.0,3.0,0.0,2.0,103108.0,7.8,49589.0,179.0,4.0,5.0,3.0,5.0,2.0,0.0,0.0,0.0
19.0,4.0,2022.0,2.3,211.0,0.0,0.0,0.0,22229.0,7.4,36065.0,152.0,5.0,5.0,4.0,4.0,2.0,1.0,0.0,4.0
20.0,10.0,2022.0,0.0,461.0,1.0,0.0,2.0,27350.0,0.0,93406.0,0.0,4.0,5.0,1.0,2.0,1.0,0.0,0.0,2.0
21.0,6.0,2022.0,3.7,247.0,0.0,0.0,0.0,31770.0,7.9,81968.0,187.0,5.0,5.0,4.0,4.0,1.9430477167778348,0.0,0.0,4.0
22.0,2.0,2010.0,2.4,263.0,0.0,0.0,0.0,219901.0,6.5689870822226775,26161.0,144.0,4.0,5.0,3.0,1.0,3.0,2.0,1.0,0.0
23.0,5.0,2009.0,3.0,274.0,0.0,0.0,0.0,294167.0,7.3,25674.0,146.0,5.0,5.0,4.0,5.0,3.0,0.0,2.0,2.0
24.0,1.0,2024.0,2.9,268.0,3.0,1.0,0.0,0.0,9.0,46422.0,200.0,4.0,5.0,3.0,0.0,1.0,0.0,0.0,5.0
25.0,1.0,2023.0,3.1,267.0,3.0,0.0,2.0,35833.0,9.3,49093.0,217.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,1.0
26.0,0.0,2019.0,1.6,167.0,3.0,0.0,2.0,54980.0,6.5689870822226775,18388.0,142.0,3.0,5.0,2.0,6.0,2.0,1.0,1.0,3.0
